"","id","bone_length","rotting_flesh","hair_length","has_soul","color","type"
"1",0,0.354512184582154,0.35083902671065,0.465760891829121,0.78114166586219,"clear","0"
"2",1,0.575559905025466,0.425868432210585,0.531401378709141,0.439898877037289,"green","0"
"3",2,0.467875498742323,0.354330420391775,0.811616089668924,0.791224973337769,"black","0"
"4",4,0.776652460655474,0.508722549943229,0.636765579959788,0.884463692097697,"black","0"
"5",5,0.56611660205779,0.875861795506256,0.41859367087488,0.636437818727937,"green","1"
"6",7,0.405679744891883,0.253277496666039,0.441419671072687,0.28032381992139,"green","0"
"7",8,0.399330850860438,0.56895176710306,0.618391020267458,0.467900834521092,"white","0"
"8",11,0.516223898111655,0.536428745698462,0.61277614658516,0.468048269648473,"clear","0"
"9",12,0.314295275920192,0.671279690080857,0.417266916626284,0.227547575097225,"blue","1"
"10",19,0.280941744097911,0.701457492994213,0.179633295116853,0.141182650710004,"white","1"
"11",22,0.431685213339481,0.438959273159348,0.239212487997394,0.47181956271875,"clear","0"
"12",23,0.584543226402469,0.593081935615642,0.681165762342038,0.935721333110703,"clear","0"
"13",25,0.390712128596071,0.335069397262571,0.55610946180221,0.784216580420327,"white","0"
"14",27,0.351558672094453,0.471078171657255,0.484457781722668,0.465327880284495,"black","0"
"15",28,0.513387221393154,0.301344761581732,0.74567556546844,0.545792299038489,"clear","0"
"16",29,0.500196552023658,0.438418145438768,0.532529814768949,0.665522429656885,"clear","0"
"17",30,0.250769999770433,0.246257685564855,0.554654442141316,0.250035519333462,"black","1"
"18",31,0.585559316870979,0.585938618841321,1,0.708691750060939,"black","0"
"19",32,0.605835956148117,0.587943178667441,0.529361248889943,0.526717647222721,"blue","0"
"20",34,0.52408038023974,0.750988138270072,0.524637024172726,0.443358343115412,"green","1"
"21",35,0.503164057832666,0.464055333613106,0.497782802951048,0.472031049188528,"clear","0"
"22",36,0.4726032938231,0.427150545428078,0.590130190571671,0.356488232933229,"white","0"
"23",37,0.374448573799757,0.384183131284588,0.675868360795299,0.414700334239582,"clear","0"
"24",39,0.343349605823947,0.397450025811909,0.478876024051957,0.621822882739023,"white","0"
"25",45,0.687255500291495,0.301576168127288,0.761948730693075,0.51377873086033,"clear","0"
"26",47,0.229009904869425,0.567313298418331,0.373743419067508,0.329635881125682,"white","1"
"27",54,0.388500547896341,0.342305848854009,0.669627290963949,0.538648669014967,"clear","0"
"28",56,0.49243810322736,0.623197268545686,0.604879120054726,0.376141524152487,"green","0"
"29",58,0.411662694545413,0.454075466057003,0.408097153464805,0.432921140647324,"white","0"
"30",62,0.304197785967004,0.266904231147935,0.527224882371446,0.386713412369317,"clear","0"
"31",69,0.672977064355436,0.620478553916359,0.435714477261103,0.328716585378118,"clear","0"
"32",70,0.465093947811331,0.439323248621893,0.24933710563099,0.197381790036612,"green","1"
"33",71,0.554509599235025,0.630669395581239,0.592484226578355,0.61536431261308,"white","0"
"34",72,0.52372856194719,0.318482781195932,0.330145639658774,0.427402087272648,"green","0"
"35",73,0.558196076830053,0.580362723469546,0.772734367701161,0.37074033318141,"black","0"
"36",75,0.456371040397294,0.456207522246787,0.23633154029349,0.300485732830941,"blue","1"
"37",79,0.394958195117346,0.573941181758069,0.47909415185512,0.482692687135969,"white","1"
"38",80,0.636346770111972,0.501060729410613,0.737795370234414,0.695588753036968,"clear","0"
"39",82,0.5642817569821,0.419500132999766,0.682930707310963,0.472690040332314,"white","0"
"40",84,0.288050097667663,0.603779721475967,0.473956164160065,0.408293823398121,"black","1"
"41",85,0.415109696469884,0.434616039221571,0.707469245394493,0.526318896345777,"white","0"
"42",86,0.456935156021441,0.627141208665932,0.463793646789999,0.436216053349705,"black","1"
"43",88,0.534266353318985,0.569504491651196,0.506610931621657,0.268315465668297,"white","1"
"44",89,0.384957975003433,0.615731644204925,0.569544623058589,0.455284777444746,"black","0"
"45",90,0.314142877338655,0.421751401243335,0.690888954710246,0.435244948889736,"white","0"
"46",91,0.287193186417982,0.530852463292264,0.466724945486993,0.299992706098127,"green","0"
"47",93,0.481716358805745,0.527250821022259,0.740269880519788,0.70085690481819,"blood","0"
"48",94,0.268141288100927,0.665223919623531,0.234943832038145,0.321622609676948,"clear","1"
"49",95,0.362887106915342,0.64872488487384,0.631183772898608,0.44504547881068,"clear","0"
"50",96,0.295229142062446,0.331809378508295,0.586854065757369,0.490878793727437,"clear","0"
"51",103,0.571618769390266,0.431954749250491,0.641309429359054,0.462294881617527,"black","0"
"52",107,0.495467055991287,0.551877350205989,0.809329841977789,0.907712134740533,"green","0"
"53",109,0.445131716664347,0.932466094906256,0.218731541701525,0.0433212009255868,"clear","1"
"54",111,0.627652366168972,0.840049257185007,0.414816063227811,0.488617208077098,"green","0"
"55",113,0.397258025900726,0.672984804977104,0.551664338357945,0.159367004364845,"white","1"
"56",115,0.678518739580321,0.476821002645431,0.477151808358027,0.489357858682951,"blue","0"
"57",118,0.304301526198481,0.463014723833442,0.385386855778536,0.219312527594425,"clear","1"
"58",119,0.51527498373614,0.582627187028709,0.568721185128968,0.534078615786505,"clear","0"
"59",125,0.504236485253526,0.620758090342556,0.341074413726979,0.348578263216492,"black","1"
"60",128,0.512676685879371,0.41747377851891,0.678072186028185,0.796332370435532,"white","0"
"61",129,0.622413651059006,0.497614114829626,0.465418693579908,0.459140754923458,"clear","0"
"62",130,0.208625173739271,0.519235144844937,0.619558747173343,0.292131020461324,"green","0"
"63",131,0.753505139544567,0.511412986498271,0.684979440373718,0.501543665845033,"white","0"
"64",133,0.49098776793388,0.545144562225887,0.492527032480212,0.302301205064412,"black","0"
"65",141,0.665431971672795,0.564869780586959,0.595988109988553,0.647141561667519,"white","0"
"66",142,0.609634260228195,0.646036960056104,0.243755281232278,0.348239946931002,"black","1"
"67",143,0.424968992569728,0.240298712991126,0.338677867263318,0.0889244709798439,"white","1"
"68",155,0.644175554414937,0.593844071877417,0.728079053123529,0.561781958747674,"clear","0"
"69",157,0.311418215897251,0.815466055340937,0.461067605838411,0.127148601281908,"black","1"
"70",159,0.227532091460614,0.491082127965165,0.616846507903731,0.480046033170773,"black","0"
"71",161,0.31527603263282,0.587052765711146,0.44618931685271,0.800853256021534,"white","0"
"72",162,0.390769160066557,0.801720579003866,0.205236325523118,0.1278768795129,"white","1"
"73",163,0.348991424008238,0.564232996295252,0.48119040076355,0.177172419325805,"white","1"
"74",165,0.510242170769772,0.403365068015903,0.690410496193383,0.47952527250474,"green","0"
"75",168,0.58617729942097,0.469534272129438,0.764311802962993,0.280853694255432,"white","0"
"76",170,0.480836000781857,0.407930152235162,0.539004585032077,0.495069123498046,"clear","0"
"77",172,0.498336384653677,0.374374391916257,0.579925795870067,0.511726043098702,"clear","0"
"78",174,0.237045747121451,0.634643421316079,0.290655319025696,0.304283101011114,"white","1"
