"","y","x1","x2","x3"
"1",8.82999437816502e+72,7,11.4556597599945,7
"2",8.95733407854832e+21,6,10.6664605094594,14
"3",2.44970538320345e+30,5,9.62999274546439,9
"4",2.29595766921477e+36,10,11.5482512396752,14
"5",7.77478949482937e+66,4,12.329264019411,12
"6",6.75457137629184e+71,7,11.399424571424,7
"7",4.27274748350969e+27,3,9.05875417951947,8
"8",1.71273506554652e+32,3,10.8333008478971,13
"9",6.50243412848956e+40,3,10.7348865925046,11
"10",5.38773240425614e+29,3,10.1232181713378,11
"11",3.64216782996205e+62,10,11.5553635777436,9
"12",1.52012062655046e+63,5,11.4232580849315,9
"13",0.0101237299883494,7,9.64124283723042,15
"14",0.000221689622527836,6,9.50225677796957,15
"15",6044.10296575111,10,8.11501196423256,9
"16",3629805053.36031,2,8.86037371614405,11
"17",1.04564963898448e+40,4,9.54327098211419,7
"18",1.08693587137627e+40,1,11.1733335744125,13
"19",17440084886648432,4,9.67981269655393,12
"20",8.66459048534467e+43,3,10.0416732584768,8
"21",20838189102534688768,3,9.82301682253804,12
"22",3.37027353720958e+83,9,12.2847376168131,8
"23",8.91471564146631e+23,4,9.19638952233513,9
"24",6.52671772159747e+69,5,11.2306338999075,7
"25",65239037374242111498,6,9.96555542095849,12
"26",1.8551749283388e+24,7,9.33755913567517,9
"27",4126078489.22855,8,9.75039981935343,13
"28",2.69087304535566e+65,5,12.5331140730815,13
"29",1.06293203577681e+44,6,10.1581192957361,8
"30",2.0696609683256e+33,7,10.7520391758784,12
"31",521.617881480255,6,9.57227599090216,14
"32",9.77201736940104e+24,4,9.26125167465817,9
"33",1.8067237841417e+37,8,10.1436473613267,9
"34",32301243689101742080,5,9.28497812080585,10
"35",2.13881026359652e+64,8,11.3164856663733,8
"36",3.43858310572168e-19,3,8.42573269015157,15
"37",1.95029755178787e+32,5,10.0461610809156,10
"38",7.43047518482812e+21,3,9.97145618163288,12
"39",5.09225709399866e+74,3,11.4131288008759,7
"40",2.15899129767059e+67,5,10.8291930066696,6
"41",1.47721720001018e+43,8,10.1833520769521,8
"42",5.6931655334121e+51,4,11.3395570056528,11
"43",1.60511727673133e+43,5,11.2023291288524,12
"44",7.11195150767662e+51,6,10.8718355493105,9
"45",7.4099584395865e+26,9,9.88357317088422,10
"46",1.41170500299819e+40,9,10.3428284795702,9
"47",44709598549.1273,4,9.01452866344538,11
"48",1.73375245427883e+78,5,11.1277114754511,5
"49",1.09446282338284e+42,3,10.2298298513806,9
"50",6.72802312925196e+48,4,10.9185705525984,10
"51",1.4316612576331e+27,6,9.78592440701089,10
"52",1036.82649905241,2,7.27818383540053,8
"53",71073572128.2456,3,8.98573818349481,11
"54",3.77068169556424e-07,2,9.17085492621217,15
"55",3.84912277612056e+51,6,10.8577088977066,9
"56",6.11855994977143e+24,1,9.76148987087444,11
"57",1.1930971788736e+32,2,9.29675415328306,8
"58",5.77875265647119e-06,4,7.5478035645495,10
"59",2.0732928618108e+49,2,11.1479999922536,11
"60",1.20879751541603e+36,6,10.0020670219797,9
"61",4.84311028784923e+26,6,10.0609335936989,11
"62",3.28374984847989e+20,2,8.89496171649311,9
"63",32359153877694.1,6,10.200684243241,14
"64",1190667854888.78,4,8.76942231530165,10
"65",376962577117707008,7,9.87347259864765,12
"66",20619.2373813094,6,8.68717387222304,11
"67",2.5114153850567e+54,1,11.1076649552082,10
"68",162478717690478,6,8.99226245560767,10
"69",4.9877601487375e+74,8,11.5757998389434,7
"70",4.12065172176461e+36,5,10.2909930201981,10
"71",4.39012122839745e+37,8,10.7395299078254,11
"72",200123357678191,8,8.74442551231159,9
"73",4.51572866600767e+61,7,11.4119511310359,9
"74",1.36627035502395e+40,4,10.7334870470556,11
"75",4.61999372713096e+48,7,11.2817214513354,11
"76",1.03116980844001e+53,5,10.8988004803927,9
"77",439390790724.937,10,10.5311123590513,15
"78",8.98482507304502e+46,3,10.7845827765611,10
"79",3.123257138534e+24,2,8.81478640251127,8
"80",4.92334485542999e+33,3,10.3459967189483,11
"81",9072133984918.78,4,8.82712378501247,10
"82",7.86564784972222e+32,10,9.66295058147761,8
"83",89953125903234.7,6,8.97580942944105,10
"84",2.36325996413755e+55,6,11.3248007073253,10
"85",7.31928552481546e+43,3,10.0374715869101,8
"86",1.06605737072531e+21,11,9.92265725740495,11
"87",2.66269614783804e+34,5,9.55947781943839,8
"88",1.08802782615182e+30,5,10.2142527752507,11
"89",5.84624300003099e+24,7,9.9881890617011,11
"90",7.38185064034161e+34,4,9.54690833550966,8
"91",211392.645667876,3,7.89814764875628,9
"92",1.98412453205282e+27,4,9.71738069867348,10
"93",2.99501275843275,6,8.42902569967221,11
"94",8.36463264949008e+41,5,10.2963586095048,9
